,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
0,460442.178467,5933082.582123,1696.099487,0
1,460443.01123,5933134.45459,1695.254517,0
2,460458.031494,5933198.932831,1693.539917,0
3,460480.887451,5933349.131836,1690.122192,0
4,460478.841919,5933429.378601,1684.303589,0
5,460495.364258,5933531.695862,1676.969238,0
6,460507.251831,5933683.163269,1666.056152,0
7,460510.55896,5933725.300781,1663.020142,0
8,460515.361816,5933758.78186,1661.416748,0
9,460541.261963,5933961.682129,1651.647583,0
10,460540.847412,5934108.297607,1644.277222,0
11,460536.260132,5934306.251709,1634.260742,0
12,460536.082153,5934310.385132,1634.018799,0
13,460536.331909,5934463.187378,1624.987061,0
14,460535.780396,5934483.541382,1623.791626,0
15,460544.232056,5934523.426147,1625.732422,0
16,460559.978638,5934597.734375,1629.348145,0
17,460568.633423,5934632.104126,1631.636841,0
18,460568.651611,5934632.062744,1631.646973,0
19,460573.130005,5934649.839966,1632.831787,0
20,460578.503174,5934690.286621,1635.427124,0
21,460607.067444,5934905.310547,1649.224609,0
22,460639.592712,5935092.912842,1661.420898,0
23,460646.246643,5935196.157959,1667.898804,0
24,460647.832397,5935268.600342,1670.894287,0
25,460647.670715,5935392.572754,1675.991699,0
26,460638.834717,5935560.812744,1682.82312,0
27,460619.547119,5935719.237549,1689.14624,0
28,460608.266907,5935815.842285,1693.006958,0
29,460598.449341,5935894.168701,1695.80542,0
30,460589.030518,5935969.315674,1698.490479,0
31,460588.416748,5935974.211914,1698.665405,0
32,460585.01709,5935999.029541,1699.548218,0
33,460564.809326,5936112.226318,1701.266846,0
34,460551.286133,5936212.247314,1702.793335,0
35,460542.008057,5936377.000732,1705.331909,0
36,460539.119751,5936424.499023,1706.063354,0
37,460538.217896,5936439.327637,1706.291748,0
38,460534.96228,5936481.356201,1706.937622,0
39,460508.274414,5936468.388184,1692.961792,0
40,460508.396851,5936439.740234,1691.478638,0
41,460507.949219,5936400.763916,1689.477051,0
42,460504.720215,5936198.425049,1679.109619,0
43,460508.703247,5936128.556641,1675.395508,0
44,460518.02417,5936034.336182,1670.282593,0
45,460512.308105,5935932.96582,1657.050415,0
46,460503.299194,5935798.381104,1639.46167,0
47,460498.230835,5935715.602539,1628.650513,0
48,460503.529297,5935514.908447,1611.155884,0
49,460500.442749,5935449.110596,1605.168091,0
50,460482.997803,5935283.251709,1589.569458,0
51,460492.343018,5935192.149414,1590.410034,0
52,460497.240723,5935129.928955,1590.983887,0
53,460490.307373,5934811.622803,1593.916504,0
54,460490.748657,5934791.962891,1594.097778,0
55,460493.068115,5934688.609375,1595.050537,0
56,460482.934326,5934566.702515,1596.172852,0
57,460477.672607,5934522.642578,1596.578247,0
58,460476.802979,5934515.025024,1596.665527,0
59,460476.769531,5934502.117432,1597.423096,0
60,460472.156494,5934220.77063,1612.293335,0
61,460475.74353,5934094.689087,1618.937866,0
62,460476.583008,5934002.248413,1623.815674,0
63,460448.760986,5933758.289917,1636.79126,0
64,460449.112915,5933742.553284,1638.423462,0
65,460450.351196,5933585.602295,1654.773071,0
66,460438.546143,5933389.213501,1675.644409,0
67,460447.414062,5933318.570435,1682.745728,0
68,460444.036255,5933203.690399,1689.30957,0
69,460436.794067,5933131.683167,1693.814209,0
70,460442.178467,5933082.582123,1696.099487,0
71,460441.245728,5933024.488556,1697.045776,0
72,460443.025879,5932989.64325,1697.502319,0
73,460441.089844,5932957.056641,1697.169067,0
74,460454.848145,5932955.590698,1700.077148,0
75,460457.045654,5932982.159424,1700.479614,0
76,460447.427612,5933034.715393,1698.327271,0
77,460442.178467,5933082.582123,1696.099487,0
78,459777.658203,5934652.54126,1625.876343,1
79,459821.312744,5934573.545654,1624.640991,1
80,459868.342407,5934485.339111,1623.336792,1
81,459897.159302,5934430.419922,1622.545044,1
82,459977.941284,5934266.821533,1620.408081,1
83,459992.051636,5934262.669067,1627.882324,1
84,459993.154785,5934263.541138,1628.734375,1
85,459952.75061,5934362.276245,1635.24585,1
86,459908.619629,5934470.118774,1642.35791,1
87,459907.116089,5934473.785522,1642.599976,1
